Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,172,1
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,112,2
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,104,3
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,79,5
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,59,6
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,57,7
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,56,8
2016,MALE,ASIAN AND PACIFIC ISLANDER,James0,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary1,199,2
2018,MALE,HISPANIC,Robert2,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia3,197,4
2020,MALE,OTHER ETHNICITY,Michael4,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer5,195,6
2022,MALE,BLACK NON HISPANIC,William6,194,7
2023,FEMALE,HISPANIC,Linda7,193,8
2016,MALE,WHITE NON HISPANIC,David8,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara9,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan11,189,12
2020,MALE,HISPANIC,Joseph12,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica13,187,14
2022,MALE,OTHER ETHNICITY,Thomas14,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah15,185,16
2016,MALE,BLACK NON HISPANIC,Charles16,184,17
2017,FEMALE,HISPANIC,Karen17,183,18
2018,MALE,WHITE NON HISPANIC,Christopher18,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy19,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James20,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary21,179,22
2022,MALE,HISPANIC,Robert22,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia23,177,24
2016,MALE,OTHER ETHNICITY,Michael24,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer25,175,26
2018,MALE,BLACK NON HISPANIC,William26,174,27
2019,FEMALE,HISPANIC,Linda27,173,28
2020,MALE,WHITE NON HISPANIC,David28,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara29,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard30,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan31,169,32
2016,MALE,HISPANIC,Joseph32,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica33,167,34
2018,MALE,OTHER ETHNICITY,Thomas34,166,35
